sk_local;de_regiao;sg_uf;de_estado;nm_municipio;nm_bairro;nm_logradouro;nu_logradouro;cd_cep;vl_latitude;vl_longitude
4564;Região Sudeste;SP;São Paulo;EMBU DAS ARTES;JARDIM DOM JOSE;RUA SANTANA DO PARNAIBA;31;06824035;-23,6780156;-46,8001202
4565;Região Nordeste;PE;Pernambuco;JABOATAO DOS GUARARAPES;PIEDADE;AVENIDA AYRTON SENNA DA SILVA;148552;54410240;-8,1757888;-34,9182132
4566;Região Nordeste;BA;Bahia;ITABUNA;CENTRO;RUA RUY BARBOSA;345;45600222;-14,7924087;-39,2763762
4567;Região Nordeste;AL;Alagoas;MACEIO;CIDADE UNIVERSITARIA;CONJUNTO VILLAGE CAMPESTRE I;38A;57073020;-9,5710964;-35,7751179
4568;Região Sudeste;SP;São Paulo;GUAREI;CENTRO;RUA SAO PAULO;94;18250000;-23,3730106;-48,1842425
4569;Região Nordeste;MA;Maranhão;GRAJAU;CENTRO;RUA SIRINO RODRIGUES;20;65940000;-5,8180155;-46,1441419
4570;Região Nordeste;BA;Bahia;SALVADOR;VILA RUI BARBOSA;RUA SETE DE ABRIL;9;40430390;-12,9424328;-38,4920975
4571;Região Sudeste;MG;Minas Gerais;DOM VICOSO;CENTRO;RUA GETULIO VARGAS;25;37474000;-22,2373995;-45,1514372
4572;Região Sudeste;MG;Minas Gerais;PASSA QUATRO;PINHEIRINHOS;RUA VARZEA SANTA LUZIA;135A;37460000;-22,3875671;-44,9713549
4573;Região Sudeste;SP;São Paulo;SAO PAULO;MOOCA;RUA MESSIAS DE PINA;69;03162090;-23,5502586;-46,6013606
4574;Região Sudeste;SP;São Paulo;SAO PAULO;VILA MARIANA;AVENIDA DOUTOR ALTINO ARANTES;1098;04042000;-23,6025737;-46,6475414
4575;Região Sudeste;ES;Espírito Santo;IBIRACU;SAO CRISTOVAO;RUA JOAO ALVES DA MOTTA JUNIOR;831;29670000;-19,8234183;-40,3698916
4576;Região Centro-Oeste;MT;Mato Grosso;CAMPO VERDE;CENTRO;AVENIDA BRASILIA;2169;78840000;-15,5455462;-55,1662687
4577;Região Centro-Oeste;DF;Distrito Federal;BRASILIA;LAGO SUL;QI 29 BLOCO A;SN;71675205;-16,049917;-47,973325
4578;Região Sul;PR;Paraná;PATO BRANCO;GRALHA AZUL;RUA JAURY HEIRTOR DE SOUZA;446;85508323;-26,2718785;-52,6794794
4579;Região Centro-Oeste;DF;Distrito Federal;BRASILIA;ASA NORTE;SHN QUADRA 2 BLOCO J;SN;70310500;-15,7910509;-47,8859049
4580;Região Nordeste;MA;Maranhão;ACAILANDIA;CENTRO;AVENIDA DESEMBARGADOR TACITO DE CALDAS;189;65930000;-4,9495867;-47,5008802
4581;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM ALPINO;RUA DOMINGOS FAUSTINO SARMIENTO;3;04836360;-23,7455033;-46,7114516
4582;Região Centro-Oeste;GO;Goiás;VALPARAISO DE GOIAS;NOVO JARDIM ORIENTE;RUA 23;;72870235;-16,0723114;-47,9906433
4583;Região Sudeste;SP;São Paulo;SAO CARLOS;JARDIM PACAEMBU;AVENIDA MARANHAO;691;13572390;-22,0412844;-47,8934589
4584;Região Sul;SC;Santa Catarina;SAO BENTO DO SUL;BELA ALIANCA;SERRINHA DO GATZ;SN;89290000;-26,2309485;-49,3322745
4585;Região Sudeste;SP;São Paulo;POTIRENDABA;CENTRO;AVENIDA MAESTRO ANTONIO AMATO;921;15105000;-21,0468188;-49,377302
4586;Região Nordeste;PB;Paraíba;JOAO PESSOA;BANCARIOS;RUA BANCARIOS VALDEMAR M ACCIOLY;998;58051000;-7,146062;-34,8374493
4587;Região Sudeste;SP;São Paulo;SANTANA DE PARNAIBA;B 120 FAZENDINHA;RUA DOS CROTONS;1;06515065;-23,4044254;-46,9021704
4588;Região Sudeste;SP;São Paulo;SAO VICENTE;CENTRO;RUA JACOB EMERICK;379;11310071;-23,9607656;-46,3960797
4589;Região Sudeste;MG;Minas Gerais;VESPASIANO;ANGICOS;RODOVIA MG 10;;33200000;-19,7000726;-43,9135854
4590;Região Sudeste;SP;São Paulo;ITAPETININGA;VILA JUDITE;RUA PROFESSOR AUGUSTO GRACO DOS SANTOS;776;18201350;-23,5792608;-48,0303774
4591;Região Centro-Oeste;DF;Distrito Federal;BRASILIA;VALE DO AMANHECER PLANALTINA;CONJUNTO RESIDENCIAL;85;73370085;-15,801519;-47,860297
4592;Região Norte;AP;Amapá;MACAPA;MARABAIXO III;AVENIDA DECIMA QUINTA;2076;68909853;0,0463973;-51,1299174
4593;Região Sudeste;SP;São Paulo;BARUERI;RECANTO PHRYNEA;ALAMEDA ANTUERPIA;186;06437030;-23,5419305;-46,8863174
4594;Região Nordeste;CE;Ceará;ITAPIPOCA;CENTRO;RUA EUBIA BARROSO;2821;62500000;-3,4923899;-39,5773897
4595;Região Sul;PR;Paraná;TERRA BOA;PERIMETRAL;RODOVIA GUIDO DE MATOS RODRIGUES;SN;87240000;-23,7611356;-52,4369764
4596;Região Centro-Oeste;GO;Goiás;ARAGUAPAZ;ZONAL;RODOVIA GO 164;;76720000;-15,0808258;-50,6329597
4597;Região Centro-Oeste;MS;Mato Grosso do Sul;GLORIA DE DOURADOS;CENTRO;AVENIDA PRESIDENTE VARGAS;1509;79730000;-22,4950977;-54,1541992
4598;Região Centro-Oeste;MT;Mato Grosso;CUIABA;BOA ESPERANCA;RUA 1;312;78068070;-15,6142322;-56,0689399
4599;Região Sudeste;MG;Minas Gerais;PARA DE MINAS;SANTA EDWIRGES;AVENIDA PADRE JOSE VIEGAS;1203;35661072;-19,8789176;-44,5747193
4600;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM GERMANIA;RUA BARAO NICOLINO BARRA;139;05849190;-23,6526104;-46,7568372
4601;Região Sul;PR;Paraná;CURITIBA;FAZENDINHA;RUA RAUL POMPEIA;1751;81330000;-25,4828581;-49,3459416
4602;Região Sul;PR;Paraná;MATINHOS;CENTRO;RUA REINOLDO SHAFFER;75;83260000;-25,8116622;-48,5362308
4603;Região Nordeste;BA;Bahia;SANTA RITA DE CASSIA;EXTREMIDADE;TRAVESSA AEROPORTO;12;47150000;-11,0052944;-44,5140663
4604;Região Sudeste;MG;Minas Gerais;TEOFILO OTONI;MATINHA;RUA MATHIAS RHIS;105;39801329;-17,843356;-41,4961938
4605;Região Sul;PR;Paraná;SANTO ANTONIO DO PARAISO;CENTRO;AVENIDA DEPUTADO NILSON RIBAS;339;86315970;-23,4941832;-50,6462785
4606;Região Sudeste;SP;São Paulo;PIRATININGA;JARDIM PANORAMA;RUA CUSTODIO FARIA DE MORAES;28;17490000;-22,4165961;-49,1372408
4607;Região Sudeste;SP;São Paulo;SAO JOSE DO RIO PRETO;;RUA CANDIDO BRASIL ESTRELA;30;15054220;-20,7895398;-49,3599371
4608;Região Nordeste;PE;Pernambuco;RECIFE;BOA VISTA;RUA DO HOSPICIO QUIOSQ;;50050050;-8,0607199;-34,8838754
4609;Região Sul;PR;Paraná;CRUZEIRO DO OESTE;CENTRO;AVENIDA BRASIL;2190;87400970;-23,7799783;-53,0847627
4610;Região Nordeste;MA;Maranhão;SAO LUIS;RIO ANIL;RUA VINTE E UM;16;65061830;-2,5348538;-44,2028489
4611;Região Sudeste;MG;Minas Gerais;MONTES CLAROS;INDEPENDENCIA;ALAMEDA DAS AMERICAS;166;39404303;-16,7107123;-43,8171282
4612;Região Nordeste;MA;Maranhão;SAO LUIS;PONTA D AREIA;AVENIDA DOS HOLANDESES;14;65075650;-2,493247;-44,279979
4613;Região Nordeste;PE;Pernambuco;RECIFE;BOA VISTA;RUA HENRIQUE DIAS;208;50070140;-8,0586186;-34,8964181
4614;Região Nordeste;PE;Pernambuco;IBIRAJUBA;ALTO DO SAO FRANCISCO;RUA ANTONIO GODOI DE MELO;10;55390000;-8,5822879;-36,1788578
4615;Região Sudeste;SP;São Paulo;MAUA;PARQUE BOA ESPERANCA;RUA ARQUIMEDES MARDEGAM;187;09320215;-23,6640595;-46,4455702
