sk_ramo_atividade;cd_cnae;de_ramo;de_divisao;cd_atividade;de_atividade
4087;33;Serviços Diversos;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO;3314707;CABELEIREIROS, MANICURE E PEDICURE
2137;93;Serviços Diversos;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;9313100;ENSINO DE ESPORTES
4250;35;Energia;ELETRICIDADE, GÁS E OUTRAS UTILIDADES;3511502;DISTRIBUICAO DE ENERGIA ELETRICA
2474;43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;4329101;INSTALACAO DE PAINEIS PUBLICITARIOS
119;47;Varejo;COMÉRCIO VAREJISTA;4781400;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL
1969;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4679604;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE
585;47;Varejo;COMÉRCIO VAREJISTA;4789002;ALUGUEL DE OUTROS OBJETOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE
1860;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4618401;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE ELETRODOMESTICOS, MOVEIS E ARTIGOS DE USO DOMESTICO
1941;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4663000;MANUTENCAO E REPARACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS NAO ESPECIFICADOS ANTERIORMENTE
586;47;Varejo;COMÉRCIO VAREJISTA;4744099;PREPARACAO DE CANTEIRO E LIMPEZA DE TERRENO
2145;93;Serviços Diversos;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;9313100;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
587;47;Varejo;COMÉRCIO VAREJISTA;4763603;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
2539;43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;4399102;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL
3502;62;Indústria Digital;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;6202300;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS
